#OTU ID,SRR6072276_ALAGAPPA_2017,SRR6072278_ALAGAPPA_2017
K01512,1736.84,1519.42
K01513,0.0,0.0
K01514,0.0,0.0
K01515,1909.97,1633.91
K01517,0.0,0.0
K01518,0.0,0.0
K01520,2213.47,1839.66
K01521,172.0,7.5
K01523,1146.55,709.0799999999999
K01524,3287.32,3014.01
K01525,996.8,610.5799999999999
K01531,797.5,43.5
K01533,2002.56,1463.92
K01534,1251.6,1025.41
K01535,10.0,45.0
K01537,1100.85,717.1
K01539,53.0,14.0
K01545,0.0,12.0
K01546,1245.98,600.34
K01547,1048.31,583.51
K01548,1061.98,585.84
K01551,280.0,290.25
K01555,728.31,429.26
K01556,1099.34,756.26
K01560,1247.34,603.01
K01561,182.5,110.0
K01563,535.6700000000001,339.33
K01565,0.0,2.5
K01567,108.0,65.0
K01568,0.0,0.0
K01569,344.0,0.0
K01571,154.0,298.5
K01572,109.0,302.0
K01573,53.0,211.0
K01574,46.25,12.0
K01575,23.34,29.51
K01576,88.5,103.0
K01577,19.0,30.5
K01578,231.33,120.58
K01579,1887.09,1781.76
K01580,182.0,160.0
K01581,773.22,376.0
K01582,184.0,120.0
K01583,36.0,32.0
K01584,416.55,242.58
K01585,1105.73,1265.59
K01586,3450.64,2530.5
K01588,2530.31,2383.17
K01589,2217.31,1551.67
K01590,5.0,0.0
K01591,2549.31,2398.67
K01592,0.0,0.0
K01593,105.89,110.83
K01594,0.0,2.5
K01595,1858.31,1497.67
K01596,891.25,531.91
K01597,406.17,289.08
K01598,0.0,0.0
K01599,2807.31,2282.67
K01601,354.0,223.5
K01602,108.0,128.0
