,BIOFILME,CHORUME,LODO,OLEO,PEIXE,SEDIMENTO,SOLO
P125-PWY,0.7498875667616633,63.17924451602374,109.24475398541699,266.42268503503567,153.12089326251456,105.71373699308249,224.7437837443764
P161-PWY,452.26819306509583,472.326822741652,840.827799309917,1272.95740193756,1200.1853249765452,1039.5806475223633,941.5112750167722
P162-PWY,8.515212521661281,15.003051926360106,171.26614552496534,139.322668889994,189.89160112853656,91.69425247583871,0.0
P163-PWY,3.8688146718537015,73.24850506986728,90.94465356106146,80.61014595201527,212.18255569590693,129.9871888198923,34.94496534802336
P164-PWY,30.218317635573783,336.97552191739345,688.8857181898003,736.0283408942842,1513.130685032239,985.7994415901321,1025.7061788056374
P184-PWY,0.6360774861952984,14.988819760745644,77.19291666684768,56.06027322521778,148.35995523697872,64.11428065260823,100.25695669304947
P221-PWY,0.0,187.73813341262226,284.71391728244055,143.50001030162366,810.7096732858921,262.78145666970113,856.9041994641996
P23-PWY,78.51469882490358,929.6402106436474,1569.925653205268,1490.6183857109709,2599.649078062424,2419.2891632759483,2719.6322397415047
P241-PWY,3152.090904865334,492.2498127688955,60.760205500188725,24.91404097081577,117.57670614841811,145.89955140637528,0.0
P261-PWY,21.499337632385675,16.89609366194602,18.66898834097754,25.921976392209128,89.8269357772492,30.99420283707623,53.61293181796565
P281-PWY,0.7499999999999999,44.6832872849272,107.8644731539757,135.53557188082266,425.54931023285195,90.93005858361825,284.67301266087486
P341-PWY,156.68259551792093,448.56414323615866,63.76692102163471,52.38013173011587,47.12574174687643,173.5108020069876,0.0
P381-PWY,0.0,7.585455881821019,153.59803246456786,198.45837496678092,183.67044063000915,251.9329695596912,159.9157707125108
P4-PWY,124.72439651542506,612.9263945343776,1144.2611915534364,1336.1897065068727,2157.31433568555,1666.6522613943646,1983.066020465526
P42-PWY,5842.787208160077,2095.4052843626205,2162.3459397636757,2086.697464235009,2661.6250373822627,3258.013150109728,2329.8699864337277
P441-PWY,56.53631254082451,262.5255897373189,277.09694572960393,587.874835605076,489.16554483108683,184.08486774377167,172.1839242214768
P461-PWY,6.095769361519739,87.30746973878459,104.72921729989069,296.64738050416327,205.25184796384463,254.47333478719344,146.44073003666605
P562-PWY,0.0,39.06552930492398,92.75974962171347,111.01251030283001,256.50924042266223,96.79709055245635,260.53222741708174
P621-PWY,0.0,0.5805213238691663,11.757439881296674,16.581196581196583,6.109282573266916,3.5653515271645273,17.472724125995153
PANTO-PWY,335.60973742245193,1543.0990322731636,1752.1837909612527,1690.1909625208464,2341.860119176441,2298.8881894549527,2466.4770192334936
PANTOSYN-PWY,564.2372247665932,1668.8148343341252,1749.5003609891949,1668.5928340652476,2350.268738187565,2292.6690314429206,2384.79641691137
PENTOSE-P-PWY,68.90272960086516,822.7453404652294,1183.2377384197855,1441.5934840950833,2226.570671624407,1686.439748244398,2262.724395051172
PEPTIDOGLYCANSYN-PWY,476.68572040233886,1595.2372062968855,2031.5423565218127,1881.0716478958532,2727.869467831571,2580.7782085305316,2537.6434810979813
PHOSLIPSYN-PWY,489.43278281127544,1877.946454184723,2326.7747075915527,2041.479787147352,3315.9366967314018,3038.223589753206,3097.5004914574993
POLYAMINSYN3-PWY,40.685340021712115,163.69662684699816,332.4307026032882,511.7771446442073,545.3785829720464,573.5425069160364,824.7951093572685
POLYAMSYN-PWY,335.29155588182095,263.7542482564421,395.7085827356052,549.2255444401846,962.1470111676243,594.650450170302,827.4744137235264
POLYISOPRENSYN-PWY,2583.2323087775403,1725.3421283022078,1864.812009291343,1657.5314621360499,2313.3990282345017,2455.2506087039756,2529.5358556647916
PPGPPMET-PWY,0.1249881803975008,118.7532794904744,617.7242265037655,387.75497723764073,726.5621831352296,527.8284157783819,1086.3506179662763
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,0.0,116.75342047337294,268.5779200614532,204.30579733000283,544.0703592394577,185.92164240477993,624.6861436043753
PRPP-PWY,64.57798515653333,728.6762918918846,1092.7171252493001,1443.3382453697036,1841.741999449496,1929.2865416127752,1590.6211097755768
PWY-1269,33.798796901984325,1242.2534094530206,1402.0530764564971,1206.0380305698798,1420.7439298676,1482.4184280979118,2071.134105227582
PWY-1361,0.0,0.8888884760057689,7.221412336561988,24.32528197837547,14.177694300396254,42.20099840557298,58.775384013869925
PWY-1422,0.0,0.0,1.0415331885463022,0.0,0.3311102610548757,0.04607071092948834,0.0
PWY-1501,0.0,0.08193277310924371,2.5129852644224746,0.0,1.683022198016971,1.7864230369345449,38.812793477465135
PWY-1541,0.0,0.13564413768445435,43.28766500195138,54.63166862647253,65.49331170422742,25.34208044696026,0.0
PWY-1622,0.0,61.06932598828632,94.57261055490473,71.82491030941615,87.36936084320837,107.45183938969241,179.81347005199484
PWY-181,0.0,111.63944907875998,401.3637682732574,780.4146512580985,636.1199576484673,591.6354949849025,1021.8841622215809
PWY-1861,1181.198319649293,893.194916725033,194.07654587793374,379.9164726049665,704.8135961820677,839.2314997007991,362.36195851271873
PWY-1882,0.0,1.4408028397343577,17.589067161241704,71.31384836471122,25.903004515905206,19.76201102306712,29.83083393893011
PWY-2221,0.0,0.0,0.0,0.0,0.07027286782674341,0.0,0.0
PWY-2941,15.888625868816495,158.97768857876378,246.04931538648495,338.1567889804695,278.11917936999106,494.8435687264937,321.44243078885245
PWY-2942,2752.7659525537265,2003.607688932842,2233.6500950025957,2179.5134715887934,3113.877923601571,2856.8725990862263,3064.5223838856928
PWY-3001,2927.134908097046,2013.3644038004306,2284.3032583669255,2221.836577805654,3092.777777210056,2942.505877666593,3032.657245808593
PWY-3081,0.0,0.0,4.756368215494147,0.0,0.8206198772466738,28.015868156305732,27.224959770529473
PWY-3661,0.0,40.70814497361603,94.65297313027743,107.93982485440068,119.44035138159796,21.77453196183662,148.48239834224086
PWY-3781,82.65881659545585,2512.6176702487346,3990.429233326937,3540.114139702223,6311.224378892261,5991.669364885748,8270.204891850051
PWY-3801,0.0,18.883085397235153,25.381013253937265,0.0,3.4089003476510378,90.27163914737906,157.4233273773071
PWY-3941,0.0,2.5325676954174186,2.001809188454875,0.0,2.8128323174403604,0.07666275712680296,0.0
PWY-4361,1.1998111396150397,0.4181532854314171,7.347463546395081,3.3848590144290807,1.6694297775045543,129.03144850454203,147.91741785366605
PWY-4722,0.0,10.480994314578208,19.048658377655308,49.45274633087355,1.3693635198282426,2.397817926319532,0.0
PWY-4984,7.481352749027302,189.84093367000472,493.79915647523814,600.0929940052013,980.3426899163245,946.2861973658172,1262.6849870484043
PWY-5005,1.9971345634892919,60.60980637195166,87.81259949715003,52.018288657675726,241.30808220461975,249.08852462999818,32.64919997658231
PWY-5022,10.221822820291514,157.63045323499958,418.0233034504609,549.7461823053587,764.4677857587059,730.8104848525592,1098.8413642621379
PWY-5028,1.2070558445113604,90.33573757841818,204.96949103345602,150.40289943331257,862.9088491114308,240.64907932622467,707.2811100337955
PWY-5088,0.0,0.0,17.00046506283105,38.61112420399296,30.321181780891862,0.337983883632273,0.0
PWY-5097,2725.2372119663646,1974.109153172602,2142.4795145646117,2045.9400905370235,2906.073411477175,2687.728594812271,2937.4810380019276
PWY-5100,613.9437629856682,1023.4094881451734,1569.5851488494836,1527.9540146046036,1895.9512236423643,1542.0844677878424,1212.8417378820254
PWY-5101,3196.353904308819,2204.751969321936,2781.35296167809,2660.929633727766,4064.657429710473,3628.3684944914403,4010.04853855984
PWY-5103,2830.1855851178043,1857.6201467258813,2267.0347254995804,2196.435815101269,3221.685304794639,3049.967421498137,3179.6890935876936
PWY-5104,3526.169117138618,1910.7973892298521,2193.179600700957,2383.380531584977,2850.2457390885374,3361.3662530535516,2011.629119396695
PWY-5121,616.4230685522263,1458.934295349431,1682.2363148671889,1596.4620470639668,2304.109421834771,2202.362365509537,2159.3269675071165
PWY-5154,86.39381089606668,988.4819721283341,969.942210744716,1052.9692593665727,1782.0577746346016,1289.7947627760561,1860.6456849423548
