index	Group	d__Bacteria;p__Firmicutes	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Desulfobacterota	Unassigned;__	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Chloroflexi	d__Archaea;p__Halobacterota	d__Bacteria;p__Synergistota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Patescibacteria	d__Bacteria;__	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Campylobacterota
SRR3215202_ZHAO_2017	SEDIMENTO	0.1705861705861706	0.07722007722007722	0.28746928746928746	0.12144612144612145	0.0	0.001755001755001755	0.07686907686907687	0.12109512109512109	0.0	0.0	0.0343980343980344	0.004914004914004914	0.013338013338013339	0.002808002808002808	0.0
SRR3215242_ZHAO_2017	SEDIMENTO	0.21691821691821692	0.06002106002106002	0.19726219726219726	0.11372411372411373	0.0	0.0	0.07757107757107758	0.1825201825201825	0.001053001053001053	0.0	0.032994032994032994	0.001404001404001404	0.02527202527202527	0.002808002808002808	0.0
SRR3215291_ZHAO_2017	SEDIMENTO	0.20744120744120745	0.061074061074061076	0.20814320814320814	0.1232011232011232	0.0	0.001755001755001755	0.10073710073710074	0.1274131274131274	0.0	0.0	0.036855036855036855	0.002106002106002106	0.018954018954018954	0.002106002106002106	0.001404001404001404
SRR3216391_ZHAO_2017	SEDIMENTO	0.16075816075816077	0.07932607932607932	0.22955422955422955	0.12636012636012636	0.0	0.003861003861003861	0.09301509301509302	0.1653211653211653	0.0	0.0	0.03229203229203229	0.001755001755001755	0.019305019305019305	0.001755001755001755	0.0
SRR3216392_ZHAO_2017	SEDIMENTO	0.14391014391014392	0.09231309231309232	0.22042822042822044	0.12495612495612496	0.0	0.002457002457002457	0.10073710073710074	0.16426816426816426	0.000351000351000351	0.0	0.03545103545103545	0.003159003159003159	0.02457002457002457	0.003159003159003159	0.001404001404001404
SRR3216395_ZHAO_2017	SEDIMENTO	0.21340821340821342	0.07757107757107758	0.19761319761319762	0.11618111618111618	0.0	0.0	0.11337311337311337	0.12004212004212005	0.0	0.0	0.03123903123903124	0.009477009477009477	0.022113022113022112	0.003861003861003861	0.001755001755001755
SRR3216396_ZHAO_2017	SEDIMENTO	0.21867321867321868	0.09196209196209196	0.18673218673218672	0.10986310986310986	0.0	0.001053001053001053	0.11898911898911899	0.11196911196911197	0.0	0.0	0.03264303264303264	0.01053001053001053	0.026325026325026327	0.00351000351000351	0.000702000702000702
SRR3216397_ZHAO_2017	SEDIMENTO	0.16602316602316602	0.08318708318708319	0.21867321867321868	0.10494910494910495	0.0	0.0	0.0888030888030888	0.18603018603018603	0.001053001053001053	0.0	0.033696033696033696	0.005967005967005967	0.02141102141102141	0.002808002808002808	0.002106002106002106
SRR3216398_ZHAO_2017	SEDIMENTO	0.17234117234117233	0.0716040716040716	0.20603720603720604	0.14075114075114076	0.0	0.001053001053001053	0.11091611091611092	0.17234117234117233	0.000702000702000702	0.0	0.030186030186030187	0.001755001755001755	0.024219024219024218	0.004212004212004212	0.001755001755001755
SRR3216403_ZHAO_2017	SEDIMENTO	0.18041418041418042	0.07757107757107758	0.44155844155844154	0.10670410670410671	0.0	0.001404001404001404	0.03474903474903475	0.07195507195507196	0.0	0.0	0.012285012285012284	0.0	0.02106002106002106	0.004212004212004212	0.0
SRR3216404_ZHAO_2017	SEDIMENTO	0.16216216216216217	0.07335907335907337	0.3601263601263601	0.10354510354510355	0.0	0.001053001053001053	0.06177606177606178	0.08494208494208494	0.0	0.0	0.0343980343980344	0.001404001404001404	0.018954018954018954	0.001755001755001755	0.0
SRR5121312_ZHAO_2017	SEDIMENTO	0.1926991926991927	0.04598104598104598	0.11091611091611092	0.126009126009126	0.0	0.001755001755001755	0.03545103545103545	0.10635310635310635	0.19164619164619165	0.0	0.04282204282204282	0.0	0.03088803088803089	0.002106002106002106	0.000351000351000351
SRR5121313_ZHAO_2017	SEDIMENTO	0.19761319761319762	0.040716040716040715	0.08845208845208845	0.11372411372411373	0.0	0.001053001053001053	0.03615303615303615	0.07581607581607581	0.2786942786942787	0.0	0.04668304668304668	0.000702000702000702	0.0171990171990172	0.002457002457002457	0.0
SRR5121314_ZHAO_2017	SEDIMENTO	0.21481221481221482	0.037557037557037556	0.16146016146016146	0.08213408213408213	0.0	0.002106002106002106	0.03615303615303615	0.09406809406809406	0.19234819234819234	0.0	0.04387504387504387	0.0	0.04703404703404703	0.002457002457002457	0.0
SRR5121315_ZHAO_2017	SEDIMENTO	0.18603018603018603	0.04141804141804142	0.20007020007020007	0.09020709020709021	0.0	0.000702000702000702	0.03966303966303966	0.10916110916110916	0.14566514566514566	0.0	0.048438048438048435	0.001755001755001755	0.03123903123903124	0.003861003861003861	0.0
SRR5133614_SRINIVASAN_BUTLER_2017	LODO	0.033345033345033345	0.056862056862056864	0.2864162864162864	0.563004563004563	0.0	0.0	0.004563004563004563	0.000702000702000702	0.0	0.0	0.03896103896103896	0.003159003159003159	0.0	0.005265005265005265	0.0
SRR5133615_SRINIVASAN_BUTLER_2017	LODO	0.002106002106002106	0.002457002457002457	0.21621621621621623	0.726921726921727	0.0	0.0	0.0	0.0	0.0	0.0	0.03790803790803791	0.003159003159003159	0.011232011232011231	0.0	0.0
